augmentation,comparison,keep_s,add_s,delete_s,keep_m,add_m,delete_m,keep_l,add_l,delete_l
experiment_018_fog,orignal_augmented,0.260,0.137,0.602,0.659,0.143,0.198,0.778,0.057,0.165
experiment_018_rain,orignal_augmented,0.255,0.241,0.504,0.647,0.171,0.182,0.774,0.066,0.160
experiment_018_snow,orignal_augmented,0.243,0.269,0.488,0.597,0.163,0.240,0.660,0.049,0.291
experiment_019_fog,orignal_augmented,0.030,0.056,0.914,0.307,0.137,0.556,0.649,0.106,0.244
experiment_019_rain,orignal_augmented,0.068,0.262,0.670,0.342,0.260,0.398,0.670,0.144,0.186
experiment_019_snow,orignal_augmented,0.054,0.271,0.675,0.283,0.236,0.481,0.587,0.117,0.295
experiment_020_fog,orignal_augmented,0.421,0.152,0.428,0.766,0.107,0.127,0.834,0.049,0.117
experiment_020_rain,orignal_augmented,0.437,0.224,0.339,0.747,0.134,0.119,0.837,0.047,0.116
experiment_020_snow,orignal_augmented,0.414,0.256,0.329,0.714,0.136,0.151,0.772,0.041,0.187
experiment_021_fog,orignal_augmented,0.435,0.178,0.387,0.751,0.112,0.137,0.834,0.057,0.109
experiment_021_rain,orignal_augmented,0.439,0.218,0.343,0.735,0.129,0.136,0.831,0.048,0.121
experiment_021_snow,orignal_augmented,0.410,0.252,0.338,0.715,0.137,0.147,0.800,0.044,0.157
experiment_022_fog,orignal_augmented,0.461,0.172,0.367,0.771,0.116,0.113,0.836,0.058,0.105
experiment_022_rain,orignal_augmented,0.473,0.213,0.314,0.757,0.128,0.114,0.836,0.048,0.116
experiment_022_snow,orignal_augmented,0.444,0.246,0.311,0.719,0.132,0.149,0.770,0.043,0.187
experiment_023_fog,orignal_augmented,0.397,0.157,0.445,0.738,0.115,0.147,0.825,0.055,0.120
experiment_023_rain,orignal_augmented,0.407,0.234,0.359,0.729,0.135,0.137,0.830,0.047,0.123
experiment_023_snow,orignal_augmented,0.376,0.267,0.356,0.706,0.146,0.148,0.806,0.036,0.158
experiment_024_fog,orignal_augmented,0.465,0.166,0.369,0.782,0.106,0.112,0.844,0.062,0.095
experiment_024_rain,orignal_augmented,0.473,0.226,0.301,0.763,0.125,0.112,0.846,0.042,0.112
experiment_024_snow,orignal_augmented,0.454,0.266,0.280,0.746,0.138,0.116,0.836,0.040,0.124
experiment_025_fog,orignal_augmented,0.495,0.192,0.313,0.780,0.109,0.111,0.845,0.060,0.094
experiment_025_rain,orignal_augmented,0.502,0.218,0.280,0.778,0.116,0.105,0.843,0.041,0.116
experiment_025_snow,orignal_augmented,0.484,0.247,0.270,0.755,0.128,0.116,0.828,0.038,0.134
experiment_026_fog,orignal_augmented,0.383,0.188,0.429,0.729,0.123,0.149,0.838,0.065,0.096
experiment_026_rain,orignal_augmented,0.403,0.279,0.319,0.708,0.167,0.125,0.835,0.050,0.116
experiment_026_snow,orignal_augmented,0.392,0.345,0.263,0.672,0.196,0.132,0.823,0.052,0.125
experiment_027_fog,orignal_augmented,0.398,0.186,0.416,0.741,0.130,0.130,0.834,0.051,0.114
experiment_027_rain,orignal_augmented,0.409,0.274,0.317,0.722,0.157,0.121,0.831,0.051,0.117
experiment_027_snow,orignal_augmented,0.385,0.304,0.311,0.707,0.162,0.130,0.819,0.041,0.140
experiment_028_fog,orignal_augmented,0.406,0.134,0.459,0.746,0.105,0.148,0.804,0.051,0.145
experiment_028_rain,orignal_augmented,0.436,0.240,0.324,0.742,0.139,0.119,0.821,0.051,0.128
experiment_028_snow,orignal_augmented,0.403,0.273,0.324,0.665,0.133,0.202,0.668,0.039,0.294
experiment_029_fog,orignal_augmented,0.476,0.196,0.327,0.769,0.112,0.119,0.848,0.054,0.098
experiment_029_rain,orignal_augmented,0.475,0.220,0.305,0.766,0.116,0.118,0.842,0.044,0.115
experiment_029_snow,orignal_augmented,0.467,0.238,0.295,0.745,0.134,0.122,0.835,0.041,0.124
